satellite,date,temperature
Landsat 5,1984-06-13,300.4897010637445
Landsat 5,1984-09-01,295.40677034039425
Landsat 5,1984-09-10,300.76370463034647
Landsat 5,1984-10-19,298.3122037303286
Landsat 5,1986-01-10,301.05772261312023
Landsat 5,1986-11-26,298.4506348369394
Landsat 5,1986-12-28,294.78177134185546
Landsat 5,1987-01-13,299.1171588810165
Landsat 4,1990-12-31,298.1794216541823
Landsat 5,1994-12-02,298.1654316755931
Landsat 5,1994-12-18,295.9163897698443
Landsat 5,1995-01-03,300.19061615271914
Landsat 5,1995-01-19,298.15169247689016
Landsat 5,1995-02-20,299.8398388565726
Landsat 5,1995-03-08,286.74876922957185
Landsat 5,1995-04-09,288.4026250960171
Landsat 7,2000-05-16,301.65075221024046
Landsat 7,2000-07-19,298.7252841159829
Landsat 7,2000-11-24,302.6342881135466
Landsat 7,2001-01-27,299.4402117286877
Landsat 7,2001-06-20,299.0467128435619
Landsat 7,2001-08-07,297.44192995354166
Landsat 7,2001-11-27,295.54157810478785
Landsat 7,2002-06-07,300.5993217717576
Landsat 7,2002-09-27,299.13255881001623
Landsat 7,2002-11-30,293.7885873536662
Landsat 7,2003-02-02,298.8510028637898
Landsat 7,2003-02-18,283.2824561201998
Landsat 7,2003-04-07,299.153419760839
Landsat 7,2003-05-25,300.91057400720166
Landsat 7,2003-07-28,297.40582463231607
Landsat 7,2003-09-30,299.0589241301643
Landsat 7,2003-12-19,297.651034704936
Landsat 7,2004-01-04,298.943250292588
Landsat 7,2004-01-20,297.98458520908963
Landsat 7,2004-05-27,300.2437416712236
Landsat 7,2004-06-12,299.13364303014737
Landsat 7,2004-06-28,298.2712087850063
Landsat 7,2004-07-14,293.9413406764515
Landsat 7,2004-08-31,297.5510117106337
Landsat 7,2004-09-16,296.2241076296425
Landsat 7,2005-01-06,291.5314565577784
Landsat 7,2005-01-22,297.88097391321895
Landsat 7,2005-02-07,289.1385839919997
Landsat 7,2005-03-11,298.066446536395
Landsat 7,2005-03-27,297.59609895306136
Landsat 7,2005-06-15,300.1392775283128
Landsat 7,2005-08-02,298.1890829970259
Landsat 7,2005-09-03,298.67131419292787
Landsat 7,2005-12-24,285.88289876332925
Landsat 7,2006-01-25,298.45269888962923
Landsat 7,2006-02-10,298.2666654424795
Landsat 7,2006-09-06,292.0735748819872
Landsat 7,2006-11-09,298.3200078673029
Landsat 7,2007-05-20,299.548962916546
Landsat 7,2007-06-21,299.0366435501148
Landsat 7,2007-08-24,287.2414261030393
Landsat 7,2007-09-09,299.5174140944878
Landsat 7,2007-09-25,297.5222779574079
Landsat 7,2007-10-11,300.4515432155052
Landsat 7,2007-11-12,298.6675791153246
Landsat 7,2007-11-28,299.41221357171804
Landsat 7,2007-12-14,300.294630752426
Landsat 7,2007-12-30,298.62921012202816
Landsat 7,2008-05-06,297.62684616895933
Landsat 5,2008-05-30,300.4311009436418
Landsat 7,2008-07-25,298.15347272424066
Landsat 7,2008-08-10,298.79902385129316
Landsat 5,2008-09-19,300.86946464
Landsat 7,2008-09-27,298.6245543638602
Landsat 7,2008-11-14,298.6035495496989
Landsat 7,2009-01-01,298.99753913248514
Landsat 7,2009-01-17,298.6078116785133
Landsat 7,2009-03-06,301.44489899770934
Landsat 7,2009-04-23,291.5457866653217
Landsat 7,2009-06-10,298.8291158991905
Landsat 5,2009-06-18,299.2449326815055
Landsat 5,2009-07-04,293.04575552114045
Landsat 7,2009-07-28,298.057655957239
Landsat 7,2009-08-29,297.09773219716556
Landsat 7,2009-11-01,298.98047252469485
Landsat 5,2010-01-12,300.26355641274006
Landsat 5,2010-01-28,290.85316784374817
Landsat 7,2010-03-18,284.04330104197186
Landsat 7,2010-09-17,300.3907033406202
Landsat 7,2010-11-04,292.09947820193884
Landsat 5,2010-12-14,299.1206961892579
Landsat 5,2010-12-30,299.8759731261137
Landsat 7,2011-02-24,299.1206248725553
Landsat 7,2011-03-28,297.1161821674875
Landsat 7,2011-04-13,299.8180959812326
